order_item_id,created_at,order_id,product_id,is_primary_item,price_usd,cogs_usd
20956,2014-07-31 05:16:00,18179,2,0,59.99,22.49
20957,2014-07-31 05:49:00,18180,1,1,49.99,19.49
20958,2014-07-31 06:12:00,18181,1,1,49.99,19.49
20959,2014-07-31 08:25:00,18182,1,1,49.99,19.49
20960,2014-07-31 08:54:00,18183,1,1,49.99,19.49
20961,2014-07-31 08:54:00,18183,4,0,29.99,9.49
20962,2014-07-31 09:37:00,18184,3,1,45.99,14.49
20963,2014-07-31 09:37:00,18184,4,0,29.99,9.49
20964,2014-07-31 10:11:00,18185,1,1,49.99,19.49
20965,2014-07-31 10:24:00,18186,3,1,45.99,14.49
20966,2014-07-31 10:24:00,18186,4,0,29.99,9.49
20967,2014-07-31 10:27:00,18187,1,1,49.99,19.49
20968,2014-07-31 10:31:00,18188,1,1,49.99,19.49
20969,2014-07-31 10:41:00,18189,1,1,49.99,19.49
20970,2014-07-31 10:48:00,18190,1,1,49.99,19.49
20971,2014-07-31 11:02:00,18191,1,1,49.99,19.49
20972,2014-07-31 11:02:00,18191,4,0,29.99,9.49
20973,2014-07-31 11:04:00,18192,1,1,49.99,19.49
20974,2014-07-31 11:55:00,18193,1,1,49.99,19.49
20975,2014-07-31 12:10:00,18194,1,1,49.99,19.49
20976,2014-07-31 12:14:00,18195,1,1,49.99,19.49
20977,2014-07-31 12:18:00,18196,3,1,45.99,14.49
20978,2014-07-31 12:42:00,18197,1,1,49.99,19.49
20979,2014-07-31 12:42:00,18197,4,0,29.99,9.49
20980,2014-07-31 12:57:00,18198,2,1,59.99,22.49
20981,2014-07-31 13:00:00,18199,3,1,45.99,14.49
20982,2014-07-31 13:08:00,18200,1,1,49.99,19.49
20983,2014-07-31 13:08:00,18200,2,0,59.99,22.49
20984,2014-07-31 13:15:00,18201,3,1,45.99,14.49
20985,2014-07-31 13:15:00,18201,4,0,29.99,9.49
20986,2014-07-31 13:29:00,18202,2,1,59.99,22.49
20987,2014-07-31 13:50:00,18203,1,1,49.99,19.49
20988,2014-07-31 13:54:00,18204,1,1,49.99,19.49
20989,2014-07-31 13:54:00,18204,4,0,29.99,9.49
20990,2014-07-31 14:04:00,18205,1,1,49.99,19.49
20991,2014-07-31 14:04:00,18206,3,1,45.99,14.49
20992,2014-07-31 14:04:00,18206,2,0,59.99,22.49
20993,2014-07-31 14:33:00,18207,1,1,49.99,19.49
20994,2014-07-31 14:35:00,18208,1,1,49.99,19.49
20995,2014-07-31 15:12:00,18209,2,1,59.99,22.49
20996,2014-07-31 15:12:00,18209,4,0,29.99,9.49
20997,2014-07-31 15:22:00,18210,1,1,49.99,19.49
20998,2014-07-31 15:22:00,18210,4,0,29.99,9.49
20999,2014-07-31 15:29:00,18211,2,1,59.99,22.49
